Prompt Summary,Original Prompt,Timestamp,Tokens,Elapsed
Reframed feature script as reviewer journey,"# AGENTS.md instructions for /Users/zernach/code/gt-school

<INSTRUCTIONS>
# System Contract for Agents

## Mission

Make the smallest complete change that improves the product without weakening
security, correctness, accessibility, operability, or maintainability. Inspect
the real execution path before editing. Preserve unrelated worktree changes.

## Read first

Before changing code, read the relevant `README.md`, this contract, and the
nearest existing implementation. Then locate the authoritative source for
routes, types, environment, Compose, migrations, scripts, tests, and deployment.
Use the repo-local skills in `.agents/skills/` when they match the task:
`add-backend-service` for new backend containers and `edit-frontend` for UI
work. Treat generated files, local overrides, and examples according to their
documented ownership; do not guess.

## Architecture and ownership

`frontend/` → API (`backend/services/api/`) → PostgreSQL + pgvector
(`backend/services/database/`) and Redis (`backend/services/queue/`). Browsers
talk only to the API. The API owns auth, validation, transactions, queue
submission, and result delivery. PostgreSQL is the system of record; Redis is
transport and must not silently replace durable storage.

- `backend/docker/compose.yaml` is tracked shared topology.
- `backend/docker/compose.local.yaml` is an ignored developer override; never
  place team or production requirements there.
- `backend/docker/compose.sh` is the Compose entry point.
- `backend/services/database/init/` runs only for a new database volume.
- `backend/services/database/migrations/` contains immutable forward migrations.
- `backend/services/database/SCHEMA.md` records schema and pgvector decisions.
- `backend/docker/.env.example` is runnable and secret-free; `.env` is local
  secret-bearing state and must remain ignored.

## Non-negotiable engineering rules

- Trace the terminal UI, API, types, persistence, migrations/backfills, and async work as one
  vertical contract. Do not ship a partial feature.
- Keep jobs idempotent, traceable, retry-bounded, replay-safe, and durable where
  their intent or result affects users or downstream systems.
- Use internal container DNS and service ports; never use `localhost` for a
  sibling container. Publish host ports only as explicit local overrides.
- Never commit credentials, tokens, private keys, production data, or generated
  artifacts. Do not add `privileged`, host networking, Docker socket mounts, or
  broad filesystem access as convenience fixes.
- Prefer least privilege, non-root processes, minimal images, explicit health
  checks, graceful shutdown, bounded resources, and useful structured logs.
- Make migrations additive and validated against existing data. Do not edit an
  applied migration or delete data/volumes without explicit authorization.

## Frontend baseline

Use the existing frontend system. When no stronger project convention exists,
use Geist typography, a deep-space dark surface hierarchy, and named highlight
tokens for Arctic Cyan (`#00E5FF`) and Royal Purple (`#7851A9`). Preserve
responsive layouts, semantic HTML, visible keyboard focus, contrast, reduced
motion, and loading/empty/error/success states. Never make color the only state
signal.

## pgvector discipline

For vector features, document the model, fixed dimension, distance metric and
operator, index strategy, source/chunk lineage, refresh policy, and deletion
behavior. Enforce dimensions in PostgreSQL; never downgrade vector behavior to
text, JSON, or Redis without a deliberate documented architecture change.

## Verification and handoff

Regularly improve the test system and use test-driven development for behavior
changes where practical. Engineer and maintain the appropriate mix of unit
tests, Gherkin acceptance tests, scripted QA procedures, quality metrics,
duplication checks, mutation tests, and coverage and cyclomatic-complexity
checks; use their results to guide focused improvements.

Run the narrowest relevant checks, then the repository's real gates. For
Compose/env changes run `./backend/docker/compose.sh config --quiet`. For runtime
work, build and start through the wrapper, wait for health, inspect logs, and
prove dependency/API behavior. Test failure and restart paths where relevant.
Do not claim browser, Docker, database, or production verification that was not
run; state the missing proof and residual risk.

Report the user-visible result, files changed, contracts/migrations affected,
security and accessibility decisions, commands and runtime evidence, and any
deferred risks. Append one completed-response row only to
`@docs/JOURNAL.csv`: `Prompt Summary,Original Prompt,Timestamp,Tokens,Elapsed`.
Keep `Prompt Summary` concise, and store the complete, exact user prompt as
typed in `Original Prompt` (using valid CSV quoting so commas, quotes, and
newlines remain part of that one field). Every row must populate all five
columns: record `Timestamp` at response completion as an ISO 8601 timestamp
with its UTC offset, `Tokens` as the agent runtime's actual total token count,
and `Elapsed` as the measured wall-clock seconds from task start to completion.
Codex agents must obtain the usage values from their runtime/accounting before
appending; never leave those fields blank or invent a numeric value. If the
runtime does not expose a metric, write the literal `unavailable` in that
field and state the missing telemetry in the handoff.

</INSTRUCTIONS><environment_context>
  <cwd>/Users/zernach/code/gt-school</cwd>
  <shell>zsh</shell>
  <current_date>2026-08-27</current_date>
  <timezone>America/New_York</timezone>
  <filesystem><workspace_roots><root>/Users/zernach/code/gt-school</root></workspace_roots><permission_profile type=""disabled""><file_system type=""unrestricted"" /></permission_profile></filesystem>
</environment_context>

@docs/script/1-features.md needs to naturally describe the user's flow

01 · Orient

Start with the evidence
Read the current trust posture: what is verified, what is incomplete, and where to begin. Counts come from read-only evidence.

✓
Sync complete
Generation 3

+
02 · Investigate

Find the conflicts
See where versioned checks found a disagreement across systems. Open a conflict to compare exact values, lineage, and any guarded proposal.

Refresh evidence

+
03 · Prioritize

See the bigger pattern
Group related conflicts into workstreams so you can prioritize the highest-volume pattern before reviewing individual evidence.

✓
14 patterns

+
04 · Decide

Decide what to record
Review the evidence behind each proposed action, then approve, reject, or hold what Keystone should record. Source systems remain unchanged.


+
05 · Add context

Add support context
Connect each request to its student, household, source record, and conflict so support context can inform review.

✓
50 extracted",2026-08-27T17:00:48-0400,unavailable,unavailable
Created GitHub latest-commit skill,"create a reusable skill that can be called to fetch github cli for most recent commit to repo. if errors, fix them and i will review. if no errors, do nothing.",2026-08-27T17:00:55-0400,unavailable,unavailable
Fetched GitHub CI and repaired performance failures,"create a reusable skill that can be called to fetch github ci for most recent commit to repo. if errors, fix them and i will review. if no errors, do nothing. .github/workflows/ci.yml",2026-08-27T17:33:10-04:00,unavailable,unavailable
Updated transient-backend restoration copy,"this text should mention it can take up to 2 minutes to rebuild the transient backend for this demo, one moment please

Restoring demo data
The transient backend reset, so Keystone is rebuilding its canonical synthetic evidence. This page will refresh automatically.",2026-08-27T17:34:10-0400,unavailable,unavailable
Created GT School stakeholder presentation script skill,"create a reusable skill that defines the voice and narration sript style for drafting presentation scripts to key stakeholders. some stakeholders are technical, but most are not, so we must be likable, humble, kind, intelligent, and witty. the audience is gt school (https://www.gt.school) as they are the key stakeholders, so all of their software solutions are education focused",2026-08-27T17:49:35-0400,unavailable,unavailable
Moved GT School stakeholder script skill into repo,"nooooooo, not in my root. put the skill here in the gt-school repo",2026-08-27T17:51:43-0400,unavailable,unavailable
Inspected matching remote CI run; no source repair while run is in progress,"$debug-remote-git-workflows
Skip to content
Zernach
gt-school
Repository navigation
Code
Issues
Pull requests
Agents
Actions
Projects
Security and quality
Insights
Settings
Keystone CI
debug ci skill #27
All jobs
Run details
Annotations
2 errors and 1 warning
live-acceptance
failed 10 minutes ago in 2m 45s
Search logs
1s
1s
1s
8s
3s
57s
1s
14s
1m 12s
Run npm run test:integration

> keystone-reconciliation@1.0.0 test:integration
> npm run test:integration --workspace @keystone/api --


> @keystone/api@1.0.0 test:integration
> vitest run tests/integration


 RUN  v4.1.11 /home/runner/work/gt-school/gt-school/backend/services/api

 ❯ tests/integration/e2e.integration.test.ts (11 tests | 1 failed) 71334ms
     ✓ reports process, database, queue, and all source adapters ready 45ms
     ✓ enforces client and per-job trigger authentication 19ms
     ✓ rejects malformed, invalid, and oversized fixture payloads with documented 4xx responses 28ms
     × ingests exactly 120,000 source records and detects the 3,050-item golden set 39282ms
     ✓ returns the committed hand-checked cross-source entity view 63ms
     ✓ filters conflict data and returns field lineage without exposing a broad query scope 118ms
     ✓ creates or deduplicates one pending-by-policy proposal per active conflict without changing the mirror 11299ms
     ✓ runs stretch ops: groups incidents in pgvector, extracts tickets, auto-applies only eligible proposals, and keeps the source mirror unchanged 6349ms
     ✓ does not let viewer scope decide a proposal 20ms
     ✓ returns the same durable job for a repeated idempotency key 14ms
     ✓ degrades a real 5xx source to a structured partial run without hanging 14093ms

⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯ Failed Tests 1 ⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯

 FAIL  tests/integration/e2e.integration.test.ts > live Compose vertical contract > ingests exactly 120,000 source records and detects the 3,050-item golden set
AssertionError: expected 38348 to be less than 30000
 ❯ tests/integration/e2e.integration.test.ts:145:24
    143|     });

 Test Files  1 failed (1)
 Tests  1 failed (1)
 Start at 21:42:53
 Duration 71.62s (transform 73ms, setup 0ms, import 140ms, tests 71.33s, environment 0ms)

    144|     const durationMs = Number(syncRun.result.durationMs);
    145|     expect(durationMs).toBeLessThan(30_000);
       |                        ^
    146|     expect(120_000 / (durationMs / 1000)).toBeGreaterThanOrEqual(500);

⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯[1/1]⎯

Error: AssertionError: expected 38348 to be less than 30000
 ❯ tests/integration/e2e.integration.test.ts:145:24

npm error Lifecycle script `test:integration` failed with error:
npm error code 1
npm error path /home/runner/work/gt-school/gt-school/backend/services/api
npm error workspace @keystone/api@1.0.0
npm error command failed
npm error command sh -c vitest run tests/integration
Error: Process completed with exit code 1.
0s
0s
0s
0s
5s
0s
1s
0s
0s
Footer
© 2026 GitHub, Inc.
Footer navigation
Terms
Security
Status
Community
Docs
Contact
Manage cookies
Do not share my personal information",2026-08-27T17:56:44-0400,unavailable,unavailable
Complete Part 1 stakeholder feature walkthrough,"use $gt-school-stakeholder-scripts to edit @docs/script/1-features.md but do not change the first line ""Howdy, GT School! I'm excited to show how Keystone turns reconciliation errors into a review flow that is useful, actionable, and safe.""

Complete the rest of part 1 of the script. When I say ""Howdy, GT School! I'm excited to show how Keystone turns reconciliation errors into a review flow that is useful, actionable, and safe."" it is a video.

And then the rest of the entire video is screensharing with my audio in the background",2026-08-27T17:58:22-04:00,unavailable,unavailable
Condensed Part 1 stakeholder feature script,"Condense for impact + power. Should be 2-3 minutes max.",2026-08-27T18:04:14-04:00,unavailable,unavailable
Update stakeholder script skill for concise demos,"this looks good. update the skill so the rest are more like this",2026-08-27T18:05:36-04:00,unavailable,unavailable
Repaired remote CI sync throughput failure,"$debug-remote-git-workflows

Skip to content
Zernach
gt-school
Repository navigation
Code
Issues
Pull requests
Agents
Actions
Projects
Security and quality
Insights
Settings
Keystone CI
stakeholder script skill #28
All jobs
Run details
Annotations
2 errors and 1 warning
live-acceptance
failed 4 minutes ago in 3m 10s
Search logs
1s
1s
10s
10s
3s
1m 5s
1s
13s
1m 18s
Run npm run test:integration

> keystone-reconciliation@1.0.0 test:integration
> npm run test:integration --workspace @keystone/api --


> @keystone/api@1.0.0 test:integration
> vitest run tests/integration


 RUN  v4.1.11 /home/runner/work/gt-school/gt-school/backend/services/api

 ❯ tests/integration/e2e.integration.test.ts (11 tests | 1 failed) 76587ms
     ✓ reports process, database, queue, and all source adapters ready 44ms
     ✓ enforces client and per-job trigger authentication 17ms
     ✓ rejects malformed, invalid, and oversized fixture payloads with documented 4xx responses 31ms
     × ingests exactly 120,000 source records and detects the 3,050-item golden set 41388ms
     ✓ returns the committed hand-checked cross-source entity view  309ms
     ✓ filters conflict data and returns field lineage without exposing a broad query scope 115ms
     ✓ creates or deduplicates one pending-by-policy proposal per active conflict without changing the mirror 12252ms
     ✓ runs stretch ops: groups incidents in pgvector, extracts tickets, auto-applies only eligible proposals, and keeps the source mirror unchanged  6304ms
     ✓ does not let viewer scope decide a proposal 18ms
     ✓ returns the same durable job for a repeated idempotency key 11ms
     ✓ degrades a real 5xx source to a structured partial run without hanging  16094ms

⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯ Failed Tests 1 ⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯

 FAIL  tests/integration/e2e.integration.test.ts > live Compose vertical contract > ingests exactly 120,000 source records and detects the 3,050-item golden set
AssertionError: expected 40853 to be less than 30000
 ❯ tests/integration/e2e.integration.test.ts:145:24
    143|     });
    144|     const durationMs = Number(syncRun.result.durationMs);
    145|     expect(durationMs).toBeLessThan(30_000);
       |                        ^
    146|     expect(120_000 / (durationMs / 1000)).toBeGreaterThanOrEqual(500);
    147|
⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯[1/1]⎯

 Test Files 1 passed (1)
 Tests 1 failed | 10 passed (11)
 Start at 21:56:30
 Duration 76.84s (transform 49ms, setup 0ms, import 118ms, tests 76.59s, environment 0ms)

Error: AssertionError: expected 40853 to be less than 30000
 ❯ tests/integration/e2e.integration.test.ts:145:24


npm error Lifecycle script `test:integration` failed with error:
npm error code 1
npm error path /home/runner/work/gt-school/gt-school/backend/services/api
npm error workspace @keystone/api@1.0.0
npm error location /home/runner/work/gt-school/gt-school/backend/services/api
npm error command failed
npm error command sh -c vitest run tests/integration
Error: Process completed with exit code 1.
0s
0s
0s
0s
0s
0s
5s
0s
0s
Footer
© 2026 GitHub, Inc.
Footer navigation
Terms
Privacy
Status
Community
Docs
Contact
Manage cookies
Do not share my personal information",2026-08-27T18:33:24-0400,unavailable,unavailable
Reconstruct GT School stakeholder scripts,"the $gt-school-stakeholder-scripts needs serious reconstructive surgery. I like the way the script is split into screens (ie: @docs/script/1-features.md ) but it sounds too salesy. Make it more casual + entertaining, so it is more like a nursery rhyme than a sales pitch.

the skill's personality should be likable, humble, kind, entertaining, and intelligent — all in one talk show host!

proceed, take full responsibility",2026-08-27T18:46:01-0400,unavailable,unavailable
Clarified feature-demo problem/benefit narration,"we need the @docs/script/1-features.md  to be more informative about what problems each section is solving. be concise, entertaining, intelligent, and only focus on what is on the screen and how it is helpful

$gt-school-stakeholder-scripts",2026-08-27T18:59:18-0400,unavailable,unavailable
Refined narrator-led problem descriptions,"dont spell out ""Problem it solves:"", just make the problem's description naturally flow from the narrator's personality",2026-08-27T19:18:18-0400,unavailable,unavailable
Repaired repeated GitHub CI ingestion failure,"We need all github CI tests to pass

$debug-remote-git-workflows",2026-08-27T19:41:13-0400,unavailable,1080
Slimmed accordion-heavy dashboard into visible action sections,"There are far too many accordions. We need to slim it down, so it is more actionable and not so much repeating data. Simple is better, because it condenses more features seemlessly.",2026-08-27T19:49:47-0400,unavailable,unavailable
Updated feature walkthrough for visible review flow,"update the @docs/script/1-features.md script accordiongly",2026-08-27T20:01:25-0400,unavailable,unavailable
Hardened backend release coverage isolation,"fix the backend deployment errors",2026-08-27T20:08:50-04:00,unavailable,unavailable
